variable,year,mean,sd,lower,upper
b_t,1950,21530.3901634996,8011.96326996032,12699.3145758064,35952.5239832974
b_t,1951,20323.2250830452,9264.76837956311,10440.365785478,35843.3377566066
b_t,1952,17876.0033649064,8285.64728503639,8875.48128280214,32621.3043865453
b_t,1953,20265.7926842688,9468.71918895181,10106.7523537705,37733.7588592964
b_t,1954,18252.5449216441,8516.30669684857,8977.61011379303,33266.0769469616
b_t,1955,15583.0399335168,7408.47020965236,7581.34118153191,28322.3994245715
b_t,1956,12716.7817931884,6038.17094020113,6064.55708680693,23508.9960803253
b_t,1957,9266.06471952505,4351.39810849923,4548.94390796504,16859.2084639187
b_t,1958,10971.4708561475,5306.56501199975,5290.69297582721,20618.2447220414
b_t,1959,12611.151406832,6238.62244683942,6056.71064446793,23582.1235371583
b_t,1960,11320.5830095273,5505.33290590025,5733.40809785859,20376.2307339582
b_t,1961,8052.7211779431,3907.3398390104,4135.63996468498,14772.9794975549
b_t,1962,7614.92249791478,3573.39773781634,3862.79996575919,13871.0554161441
b_t,1963,6992.86404222852,3294.27782381943,3419.88172828564,13037.5983310901
b_t,1964,6218.95608574352,3078.75968990903,3046.64001891778,11192.999391102
b_t,1965,5045.16649653437,2506.86016272121,2420.68020536939,9323.04844736613
b_t,1966,6950.96162349288,3478.69467672034,3416.63000366287,12701.5334068783
b_t,1967,11061.5198007067,5474.40126646855,5386.4482108268,20156.178678854
b_t,1968,12723.7882767788,6253.6683084723,6106.69181151946,22779.0507740991
b_t,1969,17691.0460107012,8478.28129136984,8580.55556320953,31715.8315267751
b_t,1970,19738.3915013121,9363.35188544946,9888.67497760019,35171.2405755723
b_t,1971,22405.6602824489,10303.4655196741,11204.6613765193,40070.2549159686
b_t,1972,24175.1708393192,11389.5039119217,12503.8000747341,42843.8500938202
b_t,1973,22097.8180449704,10404.9867410807,10990.5363363266,39975.1376763925
b_t,1974,19087.2374061211,9190.31973158569,9478.59548009686,34852.7354084308
b_t,1975,17762.7002820778,8500.15829680174,9170.14757791163,32359.848605628
b_t,1976,18346.4998171173,8485.56030765057,9327.36482637109,33031.591467956
b_t,1977,28104.11698554,12984.4743131226,14760.2579289742,49777.2748034001
b_t,1978,27767.8962255909,13432.1907393697,13728.8236485522,49773.4601338787
b_t,1979,24785.3051488441,11839.7860262134,12478.5625900683,45197.6174658623
b_t,1980,21261.4230001042,9791.68625252634,11016.8958203741,38544.5758720501
b_t,1981,19866.8002811335,9290.05019887674,10309.5332966863,36393.1118055553
b_t,1982,20598.3132359574,9760.78258075857,10359.9128231816,37441.7950107487
b_t,1983,22427.0903686665,10544.6369795752,11854.4203039203,40422.9987589721
b_t,1984,23233.3616499429,11149.9785067499,12032.3227597931,42465.6329291512
b_t,1985,19072.7412560886,8993.10571736148,9246.46688087021,35228.8088167895
b_t,1986,14615.0072191109,6744.02716803183,7330.5809188739,26261.7021912841
b_t,1987,14237.2284853606,6702.33689896202,7125.56353104787,26192.823509489
b_t,1988,14112.9287129875,6631.99576184681,7085.46601357557,25488.2972334462
b_t,1989,13328.1102889453,6263.97082236589,6698.03450146038,23949.0780587496
b_t,1990,16020.9109067307,7365.50919167063,7923.62296327994,29153.2511906509
