variable,year,mean,sd,lower,upper
b_t,1950,64484.5070607835,56691.4209078388,22867.9643987191,156441.304210325
b_t,1951,39263.734423896,37772.8313120202,12589.434215612,95525.5235238196
b_t,1952,32875.932144133,32059.3458863097,10145.350231479,78961.6159869624
b_t,1953,31068.2896430326,29442.8394271177,9486.1805945284,76823.2793784871
b_t,1954,30306.2794575957,28414.9386684453,9588.61565256304,74334.678368746
b_t,1955,30338.0098897055,28466.8195911735,9177.57495777462,75410.0092904216
b_t,1956,30648.1849120888,28478.4673587577,9624.59708944944,75854.3700378175
b_t,1957,31962.2757338788,29336.3752746903,10014.62143448,79866.7888161168
b_t,1958,36145.5377631973,34049.2642739252,11467.3722415249,87080.4909809227
b_t,1959,50871.6776610628,47203.8708830841,15469.0133730736,129370.30709574
b_t,1960,58552.3905436648,54713.5016302291,17955.45438549,146855.891153773
b_t,1961,65788.8235190308,61157.9693654056,20099.9019698965,159016.291947069
b_t,1962,83760.1807269165,78544.7249712629,25943.1344437163,213534.34841262
b_t,1963,83941.8517332483,80096.456909512,25565.536409966,208249.397318446
b_t,1964,92751.3870048403,87367.6829066974,28224.5677336814,231370.887056643
b_t,1965,117052.467683916,114682.243610127,36535.1898524089,295841.07441543
b_t,1966,140503.232060541,132086.492466297,43436.3539212433,352650.251083718
b_t,1967,181104.487645053,167909.892517612,56094.1916651791,463666.861261691
b_t,1968,183650.156192028,173417.528788271,56228.8580652178,457962.237559761
b_t,1969,196822.663391736,196461.297887685,59100.658720602,489178.591180886
b_t,1970,173801.218007942,173351.293748322,53431.8112300415,423264.421557524
b_t,1971,191029.734492226,176597.72233665,58857.3920968036,479652.274343656
b_t,1972,187379.775795863,173897.31070585,57937.8732337543,469305.531538588
b_t,1973,190856.651271167,173512.698452151,56645.7710431868,471950.908613147
b_t,1974,191812.791785908,181786.595396051,60256.5956195351,481534.133816573
b_t,1975,182939.116717442,176741.03198319,56414.0980959862,450071.116477987
b_t,1976,147246.962300318,143035.151269783,43175.5377167979,366785.364896917
b_t,1977,75039.9528224789,72155.9216201881,22972.7419689656,186493.978748008
b_t,1978,48263.2603055644,44370.4969447973,15393.35518353,117776.596043745
b_t,1979,40410.2087694815,37630.5467812496,13041.6253398742,99345.2685456376
b_t,1980,33771.3126506195,30631.1338199875,10857.2884303022,84946.4614858598
b_t,1981,33995.9623897251,32461.2054426811,10799.8065376513,85490.9837515376
b_t,1982,38497.9670690237,37393.896120296,12167.0884538859,95712.1115838235
b_t,1983,39251.5081318254,38044.5917199485,12621.9965964001,97141.2119362639
b_t,1984,39568.3392800841,37751.6217557621,12342.9412526408,94713.2238049091
b_t,1985,36414.3003429917,33938.1904279232,11283.6177667123,88991.4855206802
b_t,1986,36693.2878056353,37003.4076746086,11623.7094883578,89829.49643937
b_t,1987,35497.5717545278,34739.8576869396,11382.8570592584,88700.0388037246
b_t,1988,37026.3628174575,34784.099152294,12003.3577661315,91093.9093871555
b_t,1989,38276.4638663161,36032.4723842981,11974.3602614562,93328.7218836429
b_t,1990,37171.1263035461,35908.8455892721,11686.09683754,91854.9013907204
b_t,1991,37276.6165116508,36463.7374916169,11611.2770700937,89988.9986951507
b_t,1992,36839.7699528059,35832.8610006774,11455.1715098914,93953.0870637778
b_t,1993,41855.8318762222,40308.7026066242,13450.8361941287,102785.893566111
b_t,1994,46975.6713456288,45244.450394756,14805.2248280998,112524.980220687
b_t,1995,50767.0232731044,47575.5961932649,16264.353275368,123432.356785024
b_t,1996,56988.7220930533,53069.3580467452,17888.4005632158,139137.669012399
b_t,1997,72351.0587348187,68362.4529768673,22581.1199222387,176123.403662543
b_t,1998,80891.5954437348,78155.1832219035,24504.9901420382,202452.997196292
b_t,1999,75803.4474303859,69809.5500642818,23526.402284845,192417.893623827
b_t,2000,85965.5570141231,85377.8111961025,25631.8743663995,212098.72448299
b_t,2001,78896.2112313455,75978.833577115,24051.4206570156,195191.952845547
b_t,2002,70854.5825805668,67834.6694221188,21312.1474573855,175233.185926245
