variable,year,mean,sd,lower,upper
b_t,1950,24946.9301278293,27137.1786773629,9617.06842108139,60879.9339856242
b_t,1951,24004.5993162587,29321.4781755547,8549.127775776,59880.3397799364
b_t,1952,23664.9257208327,29514.0964679656,8293.33562811977,57366.6820502826
b_t,1953,23705.7348968556,30068.298706904,8102.42907412789,58351.2450366128
b_t,1954,23594.5075089583,30517.7944264727,7989.7483504979,61488.0280780326
b_t,1955,23719.6112330033,30455.2681102703,8242.1704761815,58303.5418645971
b_t,1956,23866.1516772322,27824.290956822,8520.38423014053,59276.4589912123
b_t,1957,25036.1148334834,30645.7959339817,8609.76349946525,63032.4002007263
b_t,1958,27819.1063929889,32607.0284332645,9552.59074740781,69568.6077855106
b_t,1959,39225.1034657347,48075.2391252983,13387.2211881951,94157.5959060571
b_t,1960,43738.684328638,54378.487596881,14716.5657400144,110731.995610068
b_t,1961,45355.4832152213,54320.7053740457,15914.2809446486,115674.90994552
b_t,1962,47539.9753822703,57712.7266699712,16406.0523939606,119684.552471261
b_t,1963,47591.0725444034,54690.7965658284,16638.2444666992,120136.949592405
b_t,1964,45343.4046182071,53682.415350961,16261.6153364893,111852.191821855
b_t,1965,53302.362958751,67805.2671280315,18695.0177176879,132387.592070765
b_t,1966,64649.752771277,76424.1163270564,23117.8074660274,157720.314748323
b_t,1967,83207.4874521526,102323.751408236,28504.6872340433,214633.164990642
b_t,1968,51576.4932245365,62904.6729158529,17487.0869861905,129796.343381068
b_t,1969,39642.7300036125,48609.7860650316,13622.2960362707,97914.9166216507
b_t,1970,35676.9074145161,41775.3986294861,12265.0463018941,90054.8901071151
b_t,1971,37830.8266966131,47152.6988741083,13069.2900567214,94470.5896805835
b_t,1972,41169.7111348496,52640.2417011643,14343.4540402389,99330.3024947657
b_t,1973,42955.3145320843,49546.5246627611,15014.1186719598,109124.279418607
b_t,1974,36763.638325874,44649.267540034,12740.7555438817,95549.5597237059
b_t,1975,38288.1655396256,43787.4083032912,13181.9951079164,100568.322810678
b_t,1976,42222.3814989243,49552.3231446773,14785.7801609276,103515.240613704
