variable,year,mean,sd,lower,upper
b_t,1950,89156.9498459953,30053.6000807703,54789.2343059614,142184.077426244
b_t,1951,64878.2581561037,23600.13193411,37457.6758382135,107987.628069294
b_t,1952,54185.618253405,19929.7872459751,31011.8623110101,89924.8708571046
b_t,1953,51555.6571005927,19215.8719628677,29052.0194414706,86825.4067164559
b_t,1954,63266.990439551,23351.6172209353,36106.6635869341,105725.590508519
b_t,1955,64996.5942512419,24151.6461930849,36857.2525244274,109004.377418485
b_t,1956,66647.6925858423,24569.8531220081,37943.7766638204,112882.657575164
b_t,1957,81462.5906990711,30284.7052140543,46160.9778237008,137044.229762633
b_t,1958,101658.115613466,37343.6740219846,57555.3926362721,169374.728472746
b_t,1959,109387.13098561,40818.0169664406,61719.3475915108,184686.917736142
b_t,1960,114211.454107099,41712.9904156467,65500.3245151829,192323.176718398
b_t,1961,114809.853510118,41763.1836536436,66702.2115459251,191985.247070133
b_t,1962,114752.269874913,42061.076514809,64078.1042053603,192263.332175024
b_t,1963,114665.680110625,42419.4571785294,65063.3508796086,191383.892789446
b_t,1964,108418.14117995,39348.387309435,61974.6613538061,179689.901707851
b_t,1965,89734.7923783187,33371.6021137318,50810.448486857,149939.626581296
b_t,1966,84982.0311852627,31938.8003969265,47774.7768103377,142821.639701443
b_t,1967,82626.9187742459,30940.9077051511,46515.269002931,139533.270963761
b_t,1968,109162.785522391,39093.6223375224,62797.6091344878,183417.325919304
b_t,1969,125448.899042933,45367.5835125952,71928.0716653713,210095.5239047
b_t,1970,137610.354479282,51102.6469440166,77865.3683150913,234209.275393589
b_t,1971,123565.88008487,45734.2208575543,70894.8273848854,211069.476038638
b_t,1972,96823.5336771956,35554.1611440492,55712.5602105409,162942.436226987
b_t,1973,92259.3585752011,33796.335012754,52466.8372040173,153383.517233271
b_t,1974,123245.338358299,44327.341554934,71918.6839608296,203386.337760407
b_t,1975,164280.292854743,60793.9776964203,94257.8363880921,275835.33868301
b_t,1976,170716.312720377,63521.414663033,95814.034127102,284042.463178933
b_t,1977,176755.077252309,63708.2051234676,102134.531575378,291892.790333568
b_t,1978,186767.114728673,69506.109357982,107662.579969438,310149.653603691
b_t,1979,177102.508913619,65601.2230461151,100468.950449593,296497.359550269
b_t,1980,146735.527206856,53446.9791748133,84088.2585033888,240927.039046594
b_t,1981,132636.590834559,47723.1587614387,76251.7474446362,218651.542942287
b_t,1982,124785.178055421,45714.8110962942,72263.781774064,208209.228202403
b_t,1983,158098.073351097,57517.6691937685,90960.8935341721,260531.830434051
b_t,1984,159148.416052574,57478.4121764944,90926.4660053029,259700.738629222
b_t,1985,164530.197628515,61551.7857788307,94065.709943446,276924.843788097
b_t,1986,171335.730288191,62548.6047428019,99666.0029053069,283118.072478026
b_t,1987,164851.921582599,60198.6318630919,95273.478857481,271524.448041546
b_t,1988,161186.843266956,58434.6945630162,93884.526693477,271674.503046237
b_t,1989,152077.462785574,55431.3827882056,87420.9168341444,252499.388923753
b_t,1990,135614.368932156,49611.2232401105,77829.7577332105,226330.767124231
b_t,1991,139344.901731021,51850.7468205212,80462.011930528,233321.873602227
b_t,1992,96918.7496248771,34622.1804812712,56839.4619411074,158785.504642426
b_t,1993,80012.7874969228,29036.482207425,46946.4515406009,132394.337495868
b_t,1994,76800.9600723612,26908.3716817229,44675.2636714675,126638.786618337
b_t,1995,75600.8791528333,26684.0308650956,44371.4194350712,123689.662677036
b_t,1996,90052.6423807247,31898.5399870966,52178.8844644855,147759.070230914
b_t,1997,88744.9767880298,31894.174069908,51184.3258534985,148384.998278927
b_t,1998,85146.081672523,31501.3142739458,49171.5382611919,141483.529390696
